id,purchasing_doc_no,milestoneid,milestonetext,actualsubmissiondate,created_at,created_by_id,sync_id,sync,sync_updated_at
1,4100000237,1,ACTUAL SDBG SUBMISSION DATE,1711707517716,1711954103430,600200,d0f21d6d-fb7e-4e5a-8685-f637faa05a50,false,Thu Jun 06 2024 12:12:36 GMT+0530 (India Standard Time)
4,4700026710,1,ACTUAL SDBG SUBMISSION DATE,1713177939834,1713178787410,600200,90768c58-d665-497f-b0c8-9bf8a5930eec,false,Thu Jun 06 2024 12:12:36 GMT+0530 (India Standard Time)
